iter	Passed	Remaining
0	1	124
1	2	113
2	3	109
3	4	101
4	5	98
5	6	95
6	7	93
7	7	90
8	8	89
9	9	87
10	10	85
11	11	83
12	12	82
13	13	81
14	14	79
15	14	78
16	15	77
17	16	76
18	17	74
19	18	73
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	65
26	23	64
27	24	63
28	25	62
29	26	60
30	26	59
31	27	58
32	28	57
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	92	1
98	93	0
99	94	0
